win_probability,pot_odds,street,stack_to_pot,opponent_bet_ratio,players_left,action,won_hand
0.44,0.16666666666666666,0,39.8,0.2,3,call,False
0.42,0.0,0,33.0,0.0,3,call,False
0.24,0.0,1,33.0,0.0,3,call,False
0.26,0.0,1,33.0,0.0,3,call,False
0.48,0.0,1,33.0,0.0,3,call,True
0.22,0.0,2,33.0,0.0,3,call,False
0.32,0.0,2,33.0,0.0,3,call,False
0.72,0.0,2,33.0,0.0,3,raise,True
0.22,0.25,2,22.0,0.3333333333333333,3,fold,False
0.42,0.25,2,22.0,0.3333333333333333,2,call,False
0.46,0.0,3,16.25,0.0,2,call,False
0.94,0.0,3,16.25,0.0,2,raise,True
0.58,0.4709864603481625,3,1.7824497257769654,0.8903107861060329,2,call,False
0.22,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.52,0.25,0,66.33333333333333,0.3333333333333333,2,call,True
0.76,0.0,0,49.5,0.0,2,raise,False
0.42,0.25,0,33.0,0.3333333333333333,2,call,True
0.92,0.0,1,24.5,0.0,2,raise,True
0.88,0.4803921568627451,1,1.849056603773585,0.9245283018867925,2,raise,False
0.96,0.17096774193548386,1,0.38132295719844356,0.20622568093385213,2,raise,True
0.84,0.1125,1,0.1267605633802817,0.1267605633802817,2,raise,False
1.0,0.0,2,0.0,0.0,2,raise,True
0.74,0.0,2,0.0,0.0,2,raise,False
1.0,0.0,3,0.0,0.0,2,raise,True
0.78,0.0,3,0.0,0.0,2,raise,False
0.32,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.42,0.25,0,66.33333333333333,0.3333333333333333,2,call,True
0.38,0.0,0,49.5,0.0,2,call,False
0.32,0.0,1,49.5,0.0,2,call,True
0.3,0.0,1,49.5,0.0,2,call,False
0.38,0.0,2,49.5,0.0,2,call,True
0.08,0.0,2,49.5,0.0,2,call,False
0.36,0.0,3,49.5,0.0,2,call,True
0.08,0.0,3,49.5,0.0,2,call,False
0.28,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.42,0.25,0,66.33333333333333,0.3333333333333333,2,call,False
0.48,0.0,0,49.5,0.0,2,call,True
0.36,0.0,1,49.5,0.0,2,call,False
0.58,0.0,1,49.5,0.0,2,call,True
0.26,0.0,2,49.5,0.0,2,call,False
0.66,0.0,2,49.5,0.0,2,raise,True
0.14,0.3333333333333333,2,24.75,0.5,2,fold,False
0.44,0.4,0,66.66666666666667,0.6666666666666666,3,call,True
0.4,0.16666666666666666,0,39.8,0.2,3,call,False
0.42,0.0,0,33.0,0.0,3,call,False
0.18,0.0,1,33.0,0.0,3,call,False
0.62,0.0,1,33.0,0.0,3,raise,False
0.52,0.2857142857142857,1,19.8,0.4,3,call,True
0.16,0.2222222222222222,1,14.142857142857142,0.2857142857142857,3,fold,False
